Syntax version=4
Sun Jul 23 22:56:50 2017
Starting process (3914065 clocks per sec)

LogRawData=false
VarHeader=1
D:		ang_acc	Acc_data[0]	Gyro_data[0]	state_vector[0]	w_rad	state_vector[1]	state_vector[2]	state_vector[3]	switch_flag
D:	time(ms)	(0x20003da0,6)	(0x20003dc4,6)	(0x20003dd0,6)	(0x20003d8c,6)	(0x20003d88,6)	(0x20003d90,6)	(0x20003d94,6)	(0x20003d98,6)	(0x20003da4,0)
D:	3849.68	0.000000	21.472000	4.795000	4.617120	0.137005	-4.795000	0.000000	0.000000	1
D:	3850.80	0.000000	21.472000	4.795000	4.617120	0.137005	-4.795000	0.000000	0.000000	1
D:	3851.93	0.000000	21.472000	4.795000	4.617120	0.137005	-4.795000	0.000000	0.000000	1
D:	3853.04	0.000000	21.472000	4.795000	4.617120	0.137005	-4.795000	0.000000	0.000000	1
D:	3854.12	0.000000	21.472000	4.795000	4.617120	0.137005	-4.795000	0.000000	0.000000	1
D:	3855.26	0.000000	21.472000	4.795000	4.617120	0.137005	-4.795000	0.000000	0.000000	1
D:	3856.34	0.000000	21.472000	4.795000	4.617120	0.137005	-4.795000	0.000000	0.000000	1
D:	3857.41	0.000000	21.472000	4.795000	4.617120	0.137005	-4.795000	0.000000	0.000000	1
D:	3858.53	0.000000	21.472000	4.795000	4.617120	0.137005	-4.795000	0.000000	0.000000	1
D:	3859.64	0.000000	21.472000	4.795000	4.617120	0.137005	-4.795000	0.000000	0.000000	1
D:	3860.71	0.000000	21.472000	4.795000	4.617120	0.137005	-4.795000	0.000000	0.000000	1
D:	3861.79	0.000000	21.472000	4.795000	4.617120	0.137005	-4.795000	0.000000	0.000000	1
D:	3862.88	0.000000	47.702000	4.795000	-0.595086	0.137005	-4.795000	0.000000	0.000000	1
D:	3863.99	0.000000	47.702000	4.795000	-0.595086	0.137005	-4.795000	0.000000	0.000000	1
D:	3865.07	0.000000	47.702000	4.795000	-0.595086	0.137005	-4.795000	0.000000	0.000000	1
D:	3866.16	0.000000	47.702000	6.422500	-0.595086	0.086884	-6.422500	0.000000	0.137005	1
D:	3867.26	0.000000	47.702000	6.422500	-0.595086	0.086884	-6.422500	0.000000	0.137005	1
D:	3868.34	0.000000	47.702000	6.422500	-0.595086	0.086884	-6.422500	0.000000	0.137005	1
D:	3869.41	0.000000	47.702000	6.422500	-0.595086	0.086884	-6.422500	0.000000	0.137005	1
D:	3870.50	0.000000	47.702000	6.422500	-0.595086	0.086884	-6.422500	0.000000	0.137005	1
D:	3871.58	0.000000	47.702000	6.422500	-0.595086	0.086884	-6.422500	0.000000	0.137005	1
D:	3872.69	0.000000	47.702000	6.422500	-0.595086	0.086884	-6.422500	0.000000	0.137005	1
D:	3873.81	0.000000	47.702000	6.422500	-0.595086	0.086884	-6.422500	0.000000	0.137005	1
D:	3874.93	0.000000	47.702000	6.422500	-0.595086	0.086884	-6.422500	0.000000	0.137005	1
D:	3876.08	0.000000	47.702000	6.422500	-0.595086	0.086884	-6.422500	0.000000	0.137005	1
D:	3877.28	0.000000	47.702000	6.422500	-0.595086	0.086884	-6.422500	0.000000	0.137005	1
D:	3878.46	0.000000	47.702000	6.422500	-0.595086	0.086884	-6.422500	0.000000	0.137005	1
D:	3879.58	0.000000	56.059002	6.422500	2.640626	0.086884	-6.422500	0.000000	0.137005	1
D:	3880.72	0.000000	56.059002	6.422500	2.640626	0.086884	-6.422500	0.000000	0.137005	1
D:	3881.85	0.000000	56.059002	6.422500	2.640626	0.086884	-6.422500	0.000000	0.137005	1
D:	3882.98	0.000000	56.059002	15.067500	2.640626	0.086884	-15.067500	0.000000	0.086884	1
D:	3884.10	0.000000	56.059002	15.067500	2.640626	0.108276	-15.067500	0.000000	0.086884	1
D:	3885.27	0.000000	56.059002	15.067500	2.640626	0.108276	-15.067500	0.000000	0.086884	1
